[2026-09-01 09:56:25,310] [WARNING] [MainProcess] [2676554] [warnings.py:110]  /data/miniconda3/envs/jisihuai/lib/python3.11/site-packages/click/decorators.py:34: SmallSampleWarning: One or more sample arguments is too small; all returned values will be NaN. See documentation for sample size requirements.
  return f(get_current_context(), *args, **kwargs)

[2026-09-01 09:56:43,638] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [966.503, 961.0799999999999, 954.4159999999999, 958.7094999999999, 969.143, 966.2149999999999, 961.4445, 954.4834999999999, 960.7995000000001, 954.0645000000001, 957.342, 984.9959999999999, 991.14, 956.4735000000001, 963.9565, 961.3924999999999, 951.8675, 947.338, 945.7205, 951.5139999999999, 956.9555, 945.7665000000001, 944.867, 968.686, 955.716, 946.9895, 946.8254999999999, 965.683, 981.906, 969.2645, 958.1205, 959.0719999999999, 965.1450000000001, 965.7850000000001, 955.6895000000001, 958.403, 957.1299999999999, 955.0935, 958.5595, 967.432, 976.5975000000001, 962.2545, 957.7225000000001, 967.7495000000001, 991.0595, 960.059, 956.7860000000001, 925.4399999999999, 899.4799999999999, 895.5635]
[2026-09-01 09:56:45,203] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.147956
[2026-09-01 09:56:45,203] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [940.1705, 939.257, 946.2254999999999, 944.8455, 953.9135, 949.9604999999999, 945.6629999999999, 943.549, 949.491, 942.939, 943.3025, 951.4219999999999, 943.6479999999999, 935.1790000000001, 941.842, 945.1845, 935.3895, 962.1935, 935.0885000000001, 951.0959999999999, 952.64, 948.0785, 943.202, 939.4834999999999, 944.729, 942.2459999999999, 950.5075, 943.9865, 952.0620000000001, 938.0840000000001, 939.0895, 923.9, 936.6415000000001, 939.5620000000001, 938.6715, 940.8155, 937.6165000000001, 943.506, 985.0514999999999, 947.8325000000001, 946.3530000000001, 947.943, 941.952, 949.2855, 942.1674999999999, 946.8594999999999, 947.85, 948.8115, 941.2209999999999, 1034.1715]
[2026-09-01 09:56:45,205] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.147956
[2026-09-01 09:56:45,205] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [940.1705, 939.257, 946.2254999999999, 944.8455, 953.9135, 949.9604999999999, 945.6629999999999, 943.549, 949.491, 942.939, 943.3025, 951.4219999999999, 943.6479999999999, 935.1790000000001, 941.842, 945.1845, 935.3895, 962.1935, 935.0885000000001, 951.0959999999999, 952.64, 948.0785, 943.202, 939.4834999999999, 944.729, 942.2459999999999, 950.5075, 943.9865, 952.0620000000001, 938.0840000000001, 939.0895, 923.9, 936.6415000000001, 939.5620000000001, 938.6715, 940.8155, 937.6165000000001, 943.506, 985.0514999999999, 947.8325000000001, 946.3530000000001, 947.943, 941.952, 949.2855, 942.1674999999999, 946.8594999999999, 947.85, 948.8115, 941.2209999999999, 1034.1715]
[2026-09-01 09:57:05,180] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 3.026956
[2026-09-01 09:57:05,181] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2320.0105, 2309.6965, 2321.064, 2316.227, 2307.7125, 2313.5005, 2299.834, 2312.9625, 2304.5474999999997, 2305.519, 2317.507, 2306.7555, 2319.1945, 2311.3765, 2306.5924999999997, 2310.1259999999997, 2316.68, 2316.0915, 2322.2915000000003, 2321.531, 2309.585, 2310.824, 2309.2465, 2319.241, 2311.1985, 2325.5299999999997, 2316.4335, 2310.6544999999996, 2306.2015, 2294.0724999999998, 2456.201, 2313.8705, 2329.645, 2315.9139999999998, 2323.9700000000003, 2314.698, 2316.9195, 2310.1245, 2308.482, 2325.1349999999998, 2318.6265, 2316.8759999999997, 2311.362, 2300.12, 2311.9785, 2316.585, 2312.517, 2303.1814999999997, 2318.0285, 2308.386]
[2026-09-01 09:57:05,182] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 3.026956
[2026-09-01 09:57:05,183] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2320.0105, 2309.6965, 2321.064, 2316.227, 2307.7125, 2313.5005, 2299.834, 2312.9625, 2304.5474999999997, 2305.519, 2317.507, 2306.7555, 2319.1945, 2311.3765, 2306.5924999999997, 2310.1259999999997, 2316.68, 2316.0915, 2322.2915000000003, 2321.531, 2309.585, 2310.824, 2309.2465, 2319.241, 2311.1985, 2325.5299999999997, 2316.4335, 2310.6544999999996, 2306.2015, 2294.0724999999998, 2456.201, 2313.8705, 2329.645, 2315.9139999999998, 2323.9700000000003, 2314.698, 2316.9195, 2310.1245, 2308.482, 2325.1349999999998, 2318.6265, 2316.8759999999997, 2311.362, 2300.12, 2311.9785, 2316.585, 2312.517, 2303.1814999999997, 2318.0285, 2308.386]
[2026-09-01 09:57:13,314] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.242404
[2026-09-01 09:57:13,315] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [951.847, 980.256, 952.0255, 952.8435, 956.4469999999999, 948.3309999999999, 958.0985000000001, 957.1685, 954.8815000000001, 1027.465, 969.241, 967.3985, 962.7094999999999, 967.6290000000001, 987.04, 966.9665000000001, 963.193, 963.323, 970.7265, 968.765, 973.3975, 983.1809999999999, 989.0125, 986.8610000000001, 1236.544, 1006.4834999999999, 1039.4705, 995.5870000000001, 990.177, 990.908, 1000.8475000000001, 983.8205, 978.8865, 977.585, 985.8875, 985.6290000000001, 982.9475, 976.1719999999999, 984.1395, 984.073, 980.5219999999999, 989.8405, 970.249, 978.9014999999999, 971.8979999999999, 983.3675, 978.1385, 978.941, 973.0985000000001, 992.4955]
[2026-09-01 09:57:13,316] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 5.741002
[2026-09-01 09:57:13,316] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [951.847, 980.256, 952.0255, 952.8435, 956.4469999999999, 948.3309999999999, 958.0985000000001, 957.1685, 954.8815000000001, 1027.465, 969.241, 967.3985, 962.7094999999999, 967.6290000000001, 987.04, 966.9665000000001, 963.193, 963.323, 970.7265, 968.765, 973.3975, 983.1809999999999, 989.0125, 986.8610000000001, 1236.544, 1006.4834999999999, 1039.4705, 995.5870000000001, 990.177, 990.908, 1000.8475000000001, 983.8205, 978.8865, 977.585, 985.8875, 985.6290000000001, 982.9475, 976.1719999999999, 984.1395, 984.073, 980.5219999999999, 989.8405, 970.249, 978.9014999999999, 971.8979999999999, 983.3675, 978.1385, 978.941, 973.0985000000001, 992.4955]
[2026-09-01 09:57:13,317] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 5.741002
