kind,shape_sig,dtype,v3_id,v4_id,v3_e2e_us,v4_e2e_us,diff_v3_minus_v4_us,ratio_v3_over_v4,v3_device_us,v4_device_us
varlen,"q:17,16,16/bf16 | k:17,1,16/bf16 | v:17,1,16/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,86,73,2409.58,2359.81,49.77,1.021,,
varlen,"q:2,4,64/fp16 | k:33,2,64/fp16 | v:33,2,64/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,100,74,1173.75,980.49,193.26,1.197,,
varlen,"q:8,2,128/bf16 | k:15,2,128/bf16 | v:15,2,128/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,106,78,3334.81,2339.51,995.31,1.425,,
varlen,"q:16,2,128/bf16 | k:8,2,128/bf16 | v:8,2,128/bf16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",bf16,109,84,1668.5,990.87,677.64,1.684,,
varlen,"q:8,8,64/bf16 | k:8,8,64/bf16 | v:8,8,64/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,111,90,3681.28,2329.98,1351.31,1.58,,
varlen,"q:8,4,128/fp16 | k:8,4,128/fp16 | v:8,4,128/fp16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",fp16,116,92,3867.07,2332.27,1534.8,1.658,,
varlen,"q:65,1,128/fp16 | k:7,1,128/fp16 | v:7,1,128/fp16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",fp16,118,97,2122.04,966.28,1155.76,2.196,,
varlen,"q:16,16,32/bf16 | k:33,1,32/bf16 | v:33,1,32/bf16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",bf16,123,98,1878.43,983.19,895.24,1.911,,
varlen,"q:15,2,64/fp16 | k:64,2,64/fp16 | v:64,2,64/fp16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",fp16,124,104,1911.58,974.32,937.26,1.962,,
varlen,"q:16,8,64/bf16 | k:4,8,64/bf16 | v:4,8,64/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,125,106,1329.29,958.29,371.0,1.387,,
varlen,"q:1,8,256/bf16 | k:16,2,256/bf16 | v:16,2,256/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,127,107,1520.03,947.11,572.92,1.605,,
varlen,"q:31,4,32/bf16 | k:129,2,32/bf16 | v:129,2,32/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,130,110,2621.52,965.44,1656.08,2.715,,
varlen,"q:31,16,16/bf16 | k:256,2,16/bf16 | v:256,2,16/bf16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",bf16,131,119,1740.81,1026.22,714.59,1.696,,
varlen,"q:32,4,64/fp16 | k:129,1,64/fp16 | v:129,1,64/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,133,121,3674.54,2334.16,1340.38,1.574,,
varlen,"q:33,2,128/fp16 | k:33,2,128/fp16 | v:33,2,128/fp16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",fp16,134,125,2121.16,979.42,1141.74,2.166,,
varlen,"q:8,4,64/bf16 | k:65,4,64/bf16 | v:65,4,64/bf16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",bf16,137,135,2004.0,974.47,1029.54,2.057,,
varlen,"q:7,8,64/fp16 | k:257,1,64/fp16 | v:257,1,64/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,138,136,1148.88,977.31,171.56,1.176,,
varlen,"q:128,8,16/fp16 | k:257,1,16/fp16 | v:257,1,16/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,143,140,3971.13,2335.15,1635.97,1.701,,
varlen,"q:17,8,128/bf16 | k:32,1,128/bf16 | v:32,1,128/bf16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",bf16,145,141,3924.96,2329.57,1595.4,1.685,,
varlen,"q:2,16,256/fp16 | k:4,16,256/fp16 | v:4,16,256/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,149,142,3289.49,2317.24,972.25,1.42,,
varlen,"q:128,8,32/bf16 | k:15,1,32/bf16 | v:15,1,32/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,151,153,2098.42,973.02,1125.4,2.157,,
